Results for:,COPPER,Extension mm,Force N,eng_Stress,eng_Strain,True_stress,True_strain,log sigma,log strain
Curves for Specimen No:,1,,,,,,,,
Curve No:,1,0,0,0,0,0,0,,
,,0.004,0,0,0.00016,0,0.000159987,,
"Diameter, 4.75mm",,0.008,0,0,0.00032,0,0.000319949,,
,,0.012,7.5,0.423182651,0.00048,0.423385779,0.000479885,0.423588955,0.00047977
,,0.016,7.5,0.423182651,0.00064,0.423453488,0.000639795,0.423724411,0.000639591
,,0.02,7.5,0.423182651,0.0008,0.423521197,0.00079968,0.423859879,0.000799361
,,0.024,7.5,0.423182651,0.00096,0.423588906,0.000959539,0.423995357,0.000959079
,,0.028,15,0.846365302,0.00112,0.847313231,0.001119373,0.848261691,0.001118747
,,0.032,15,0.846365302,0.00128,0.847448649,0.001279181,0.84853269,0.001278364
,,0.036,15,0.846365302,0.00144,0.847584068,0.001438964,0.848803711,0.00143793
,,0.04,15,0.846365302,0.0016,0.847719486,0.001598721,0.849074754,0.001597445
,,0.044,15,0.846365302,0.00176,0.847854905,0.001758453,0.849345818,0.001756909
,,0.048,15,0.846365302,0.00192,0.847990323,0.001918159,0.849616904,0.001916322
,,0.052,15,0.846365302,0.00208,0.848125742,0.00207784,0.849888011,0.002075684
,,0.056,15,0.846365302,0.00224,0.84826116,0.002237495,0.85015914,0.002234995
,,0.06,15,0.846365302,0.0024,0.848396579,0.002397125,0.850430291,0.002394256
,,0.064,22.5,1.269547953,0.00256,1.272797996,0.002556729,1.276052195,0.002553466
,,0.068,22.5,1.269547953,0.00272,1.273001123,0.002716307,1.276458986,0.002712625
,,0.072,30,1.692730604,0.00288,1.697605668,0.002875861,1.702487745,0.002871733
,,0.076,45,2.539095906,0.00304,2.546814757,0.003035389,2.554545329,0.003030791
,,0.08,52.5,2.962278556,0.0032,2.971757848,0.003194891,2.98125229,0.003189798
,,0.084,67.5,3.808643858,0.00336,3.821440902,0.003354368,3.83425942,0.003348754
,,0.088,82.5,4.65500916,0.00352,4.671394792,0.003513819,4.68780923,0.00350766
,,0.092,97.5,5.501374462,0.00368,5.52161952,0.003673245,5.541901783,0.003666515
,,0.096,105,5.924557113,0.00384,5.947307412,0.003832646,5.970101336,0.00382532
,,0.1,120,6.770922415,0.004,6.798006104,0.003992021,6.825143889,0.003984074
,,0.104,135,7.617287717,0.00416,7.648975633,0.004151371,7.68072937,0.004142778
,,0.108,142.5,8.040470368,0.00432,8.0752052,0.004310696,8.110014951,0.004301431
,,0.112,157.5,8.886835669,0.00448,8.926648693,0.004469995,8.966550765,0.004460034
,,0.116,180,10.15638362,0.00464,10.20350924,0.004629268,10.25074402,0.004618586
,,0.12,210,11.84911423,0.0048,11.90598997,0.004788517,11.96300201,0.004777088
,,0.124,240,13.54184483,0.00496,13.60901238,0.00494774,13.67634623,0.00493554
,,0.128,262.5,14.81139278,0.00512,14.88722711,0.005106937,14.96325525,0.005093941
,,0.132,285,16.08094074,0.00528,16.1658481,0.00526611,16.25097923,0.005252292
,,0.136,307.5,17.35048869,0.00544,17.44487535,0.005425257,17.53951827,0.005410593
,,0.14,330,18.62003664,0.0056,18.72430885,0.005584378,18.82887247,0.005568843
,,0.144,352.5,19.88958459,0.00576,20.0041486,0.005743475,20.11904192,0.005727044
,,0.148,367.5,20.7359499,0.00592,20.85870672,0.005902546,20.98182619,0.005885194
,,0.152,390,22.00549785,0.00608,22.13929127,0.006061591,22.27349061,0.006043294
,,0.156,435,24.54459375,0.00624,24.69775202,0.006220612,24.85138715,0.006201344
,,0.16,480,27.08368966,0.0064,27.25702527,0.006379607,27.43091438,0.006359343
,,0.164,510,28.77642026,0.00656,28.96519358,0.006538577,29.15458472,0.006517293
,,0.168,547.5,30.89233352,0.00672,31.09993,0.006697521,31.30822245,0.006675193
,,0.172,577.5,32.58506412,0.00688,32.80924936,0.006856441,33.03420404,0.006833042
,,0.176,615,34.70097738,0.00704,34.94527226,0.007015335,35.19042504,0.006990842
,,0.18,645,36.39370798,0.0072,36.65574268,0.007174204,36.91871844,0.007148592
,,0.184,667.5,37.66325593,0.00736,37.9404575,0.007333047,38.21867667,0.007306291
,,0.188,697.5,39.35598654,0.00752,39.65194355,0.007491866,39.94901059,0.007463941
,,0.192,720,40.62553449,0.00768,40.93753859,0.007650659,41.25073774,0.007621541
,,0.196,772.5,43.58781304,0.00784,43.9295415,0.007809427,44.27260604,0.007779091
,,0.2,825,46.5500916,0.008,46.92249233,0.00796817,47.29637871,0.007936591
,,0.204,870,49.08918751,0.00816,49.48975528,0.008126887,49.89195294,0.008094042
,,0.208,907.5,51.20510076,0.00832,51.6311272,0.00828558,52.05892101,0.008251443
,,0.212,945,53.32101402,0.00848,53.77317622,0.008444247,54.22725019,0.008408794
,,0.216,982.5,55.43692727,0.00864,55.91590232,0.008602889,56.39694061,0.008566095
,,0.22,1020,57.55284053,0.0088,58.05930552,0.008761506,58.56799246,0.008723346
,,0.224,1050,59.24557113,0.00896,59.77641145,0.008920097,60.30962286,0.008880548
,,0.228,1080,60.93830173,0.00912,61.49405904,0.009078664,62.05234294,0.009037701
,,0.232,1110,62.63103234,0.00928,63.21224832,0.009237205,63.79615284,0.009194803
,,0.236,1162.5,65.59331089,0.00944,66.21251175,0.009395722,66.83462608,0.009351856
,,0.24,1215,68.55558945,0.0096,69.21372311,0.009554213,69.87500575,0.00950886
,,0.244,1260,71.09468535,0.00976,71.78856948,0.009712679,72.4858288,0.009665814
,,0.248,1297.5,73.21059861,0.00992,73.93684775,0.00987112,74.66668723,0.009822719
,,0.252,1335,75.32651186,0.01008,76.0858031,0.010029536,76.84890838,0.009979574
,,0.256,1380,77.86560777,0.01024,78.66295159,0.010187926,79.46436395,0.010136379
,,0.26,1417.5,79.98152102,0.0104,80.81332884,0.010346292,81.64944714,0.010293136
,,0.264,1447.5,81.67425163,0.01056,82.53673173,0.010504633,83.40374977,0.010449842
,,0.268,1485,83.79016488,0.01072,84.68839545,0.010662948,85.59142342,0.0106065
,,0.272,1515,85.48289549,0.01088,86.41294939,0.010821239,87.34804454,0.010763108
,,0.276,1575,88.86835669,0.01104,89.84946335,0.010979504,90.8359659,0.010919667
,,0.28,1635,92.2538179,0.0112,93.28706066,0.011137744,94.3260681,0.011076176
,,0.284,1680,94.79291381,0.01136,95.86976131,0.01129596,96.95270227,0.011232637
,,0.288,1725,97.33200971,0.01152,98.45327446,0.01145415,99.58097304,0.011389048
,,0.292,1762.5,99.44792297,0.01168,100.6094747,0.011612315,101.7777837,0.01154541
,,0.296,1807.5,101.9870189,0.01184,103.1945452,0.011770456,104.409192,0.011701723
,,0.3,1845,104.1029321,0.012,105.3521673,0.011928571,106.6088681,0.011857986
,,0.304,1875,105.7956627,0.01216,107.082138,0.012086661,108.3764035,0.012014201
,,0.308,1905,107.4883933,0.01232,108.8126503,0.012244726,110.1450315,0.012170366
,,0.312,1935,109.1811239,0.01248,110.5437044,0.012402767,111.9147521,0.012326483
,,0.316,1995,112.5665851,0.01264,113.9894268,0.012560782,115.4212231,0.01248255
,,0.32,2055,115.9520464,0.0128,117.4362325,0.012718772,118.9298773,0.012638568
,,0.324,2100,118.4911423,0.01296,120.0267875,0.012876738,121.5723409,0.012794538
,,0.328,2152.5,121.4534208,0.01312,123.0468897,0.013034678,124.6507663,0.012950458
,,0.332,2190,123.5693341,0.01328,125.2103348,0.013192594,126.8621839,0.013106329
,,0.336,2235,126.10843,0.01344,127.8033273,0.013350484,129.5095636,0.013262152
,,0.34,2272.5,128.2243432,0.0136,129.9681943,0.01350835,131.7238502,0.013417926
,,0.344,2310,130.3402565,0.01376,132.1337384,0.013666191,133.9395033,0.013573651
,,0.348,2340,132.0329871,0.01392,133.8708863,0.013824007,135.7215183,0.013729327
,,0.352,2377.5,134.1489003,0.01408,136.0377169,0.013981798,137.9397687,0.013884954
,,0.356,2437.5,137.5343615,0.01424,139.4928509,0.014139564,141.4652189,0.014040532
,,0.36,2497.5,140.9198228,0.0144,142.9490682,0.014297305,144.9928546,0.014196062
,,0.364,2542.5,143.4589187,0.01456,145.5476805,0.014455021,147.6515753,0.014351543
,,0.368,2587.5,145.9980146,0.01472,148.1471053,0.014612712,150.3119364,0.014506976
,,0.372,2632.5,148.5371105,0.01488,150.7473427,0.014770379,152.973938,0.014662359
,,0.376,2670,150.6530237,0.01504,152.9188452,0.014928021,155.2016209,0.014817694
,,0.38,2715,153.1921196,0.0152,155.5206399,0.015085637,157.8667678,0.014972981
,,0.384,2745,154.8848502,0.01536,157.2638815,0.015243229,159.661091,0.015128219
,,0.388,2775,156.5775808,0.01552,159.0076649,0.015400797,161.4565096,0.015283408
,,0.392,2805,158.2703114,0.01568,160.7519899,0.015558339,163.2530239,0.015438549
,,0.396,2865,161.6557727,0.01584,164.2164001,0.015715856,166.7972015,0.015593641
